Window_ID,Train_ID,Time_ms,CH1_Voltage,CH2_Voltage
1,T001,5,-0.00539677272756046,-0.00378652409570475
2,T001,10,-0.00539677272756046,-0.0034644743688805
3,T001,15,-0.00539677272756046,-0.0034644743688805
4,T001,20,-0.00604087217924587,-0.0047526732752712
5,T001,25,-0.00668497163032762,-0.00443062354890007
6,T001,30,-0.00571882245347863,-0.0034644743688805
7,T001,35,-0.00539677272756046,-0.00410857382237793
8,T001,40,-0.00571882245347863,-0.00378652409570475
9,T001,45,-0.00539677272756046,-0.00378652409570475
10,T001,50,-0.00571882245347863,-0.0034644743688805
11,T001,55,-0.00539677272756046,-0.00378652409570475
12,T001,60,-0.00571882245347863,-0.00378652409570475
13,T001,65,-0.00636292190486219,-0.0047526732752712
14,T001,70,-0.00571882245347863,-0.0034644743688805
15,T001,75,-0.00571882245347863,-0.0034644743688805
16,T001,80,-0.00700702135564216,-0.00378652409570475
17,T001,85,-0.00539677272756046,-0.0034644743688805
18,T001,90,-0.00539677272756046,-0.0034644743688805
19,T001,95,-0.00571882245347863,-0.00378652409570475
20,T001,100,-0.00539677272756046,-0.00378652409570475
21,T001,105,-0.00571882245347863,-0.00410857382237793
22,T001,110,-0.00604087217924587,-0.00378652409570475
23,T001,115,-0.00539677272756046,-0.0034644743688805
24,T001,120,-0.00571882245347863,-0.00378652409570475
25,T001,125,-0.00604087217924587,0.00362061965951331
26,T001,130,-0.00604087217924587,-0.0034644743688805
27,T001,135,-0.00539677272756046,-0.0047526732752712
28,T001,140,-0.00539677272756046,-0.00507472300149132
29,T001,145,-0.00571882245347863,-0.0034644743688805
30,T001,150,-0.00571882245347863,-0.00378652409570475
31,T001,155,-0.00539677272756046,-0.00571882245347863
32,T001,160,-0.00571882245347863,-0.0034644743688805
33,T001,165,-0.00539677272756046,-0.00378652409570475
34,T001,170,-0.00571882245347863,-0.00378652409570475
35,T001,175,-0.00539677272756046,-0.00378652409570475
36,T001,180,-0.00571882245347863,-0.00443062354890007
37,T001,185,-0.00571882245347863,-0.00378652409570475
38,T001,190,-0.00668497163032762,-0.0047526732752712
39,T001,195,-0.00636292190486219,-0.0034644743688805
40,T001,200,-0.00539677272756046,-0.00410857382237793
41,T001,205,-0.00571882245347863,-0.0034644743688805
42,T001,210,-0.00604087217924587,-0.00378652409570475
43,T001,215,-0.00571882245347863,-0.00378652409570475
44,T001,220,-0.00571882245347863,-0.0034644743688805
45,T001,225,-0.00539677272756046,-0.00378652409570475
46,T001,230,-0.00539677272756046,-0.00571882245347863
47,T001,235,-0.00636292190486219,-0.00443062354890007
48,T001,240,-0.00571882245347863,-0.0034644743688805
49,T001,245,-0.00539677272756046,-0.00378652409570475
50,T001,250,-0.00636292190486219,-0.00443062354890007
51,T001,255,-0.00636292190486219,-0.00410857382237793
52,T001,260,-0.00539677272756046,-0.00378652409570475
53,T001,265,-0.00797317053068073,-0.0034644743688805
54,T001,270,-0.00571882245347863,-0.0034644743688805
55,T001,275,-0.00539677272756046,-0.0034644743688805
56,T001,280,-0.00539677272756046,-0.0034644743688805
57,T001,285,-0.00571882245347863,-0.00378652409570475
58,T001,290,-0.00539677272756046,-0.00378652409570475
59,T001,295,-0.00604087217924587,-0.0034644743688805
60,T001,300,-0.00571882245347863,-0.00604087217924587
61,T001,305,-0.00539677272756046,-0.0034644743688805
62,T001,310,-0.00539677272756046,-0.00378652409570475
63,T001,315,-0.00539677272756046,-0.00378652409570475
64,T001,320,-0.00668497163032762,-0.0034644743688805
65,T001,325,-0.00636292190486219,-0.00443062354890007
66,T001,330,-0.00571882245347863,-0.00378652409570475
67,T001,335,-0.00539677272756046,-0.00410857382237793
68,T001,340,-0.00700702135564216,-0.00378652409570475
69,T001,345,-0.00507472300149132,-0.0034644743688805
70,T001,350,-0.00604087217924587,-0.00378652409570475
71,T001,355,-0.00604087217924587,-0.00507472300149132
72,T001,360,-0.00571882245347863,-0.00378652409570475
73,T001,365,-0.00668497163032762,-0.00378652409570475
74,T001,370,-0.00604087217924587,-0.0034644743688805
75,T001,375,-0.00571882245347863,-0.0034644743688805
76,T001,380,-0.00604087217924587,0.00362061965951331
77,T001,385,-0.00539677272756046,-0.0034644743688805
78,T001,390,-0.00604087217924587,-0.0034644743688805
79,T001,395,-0.00604087217924587,-0.00378652409570475
80,T001,400,-0.00636292190486219,-0.00507472300149132
81,T001,405,-0.00539677272756046,-0.00443062354890007
82,T001,410,-0.00571882245347863,-0.0034644743688805
83,T001,415,-0.00636292190486219,-0.0034644743688805
84,T001,420,-0.00571882245347863,-0.00378652409570475
85,T001,425,-0.00604087217924587,0.00394266938981766
86,T001,430,-0.00571882245347863,-0.0034644743688805
87,T001,435,-0.00571882245347863,-0.00378652409570475
88,T001,440,-0.00571882245347863,-0.0034644743688805
89,T001,445,-0.00571882245347863,-0.00378652409570475
90,T001,450,-0.00539677272756046,-0.0034644743688805
91,T001,455,-0.00668497163032762,-0.00314242464190517
92,T001,460,-0.00539677272756046,-0.00410857382237793
93,T001,465,-0.00636292190486219,-0.00507472300149132
94,T001,470,-0.00539677272756046,-0.00378652409570475
95,T001,475,-0.00539677272756046,-0.00378652409570475
96,T001,480,-0.00571882245347863,-0.00378652409570475
97,T001,485,-0.00539677272756046,-0.0034644743688805
98,T001,490,-0.00539677272756046,-0.00410857382237793
99,T001,495,-0.00539677272756046,-0.00378652409570475
100,T001,500,-0.00539677272756046,-0.00378652409570475
101,T001,505,-0.00571882245347863,-0.00539677272756046
102,T001,510,-0.00571882245347863,0.00394266938981766
103,T001,515,-0.00539677272756046,-0.00378652409570475
104,T001,520,-0.00604087217924587,-0.00443062354890007
105,T001,525,-0.00604087217924587,-0.00507472300149132
106,T001,530,-0.00571882245347863,-0.0034644743688805
107,T001,535,-0.00604087217924587,-0.00410857382237793
