Window_ID,Train_ID,Time_ms,CH1_Voltage,CH2_Voltage
1,T001,5,-0.00539677272756046,-0.0047526732752712
2,T001,10,-0.00571882245347863,-0.00443062354890007
3,T001,15,-0.00539677272756046,-0.0047526732752712
4,T001,20,-0.00539677272756046,-0.00443062354890007
5,T001,25,-0.00539677272756046,-0.00410857382237793
6,T001,30,-0.00539677272756046,-0.00443062354890007
7,T001,35,-0.00668497163032762,-0.00507472300149132
8,T001,40,-0.00507472300149132,-0.00539677272756046
9,T001,45,-0.00539677272756046,-0.00443062354890007
10,T001,50,-0.00507472300149132,-0.00507472300149132
11,T001,55,-0.00507472300149132,-0.00443062354890007
12,T001,60,-0.00539677272756046,-0.00443062354890007
13,T001,65,-0.00507472300149132,-0.00443062354890007
14,T001,70,-0.00539677272756046,-0.00539677272756046
15,T001,75,-0.00539677272756046,-0.0047526732752712
16,T001,80,-0.00507472300149132,-0.00410857382237793
17,T001,85,-0.00668497163032762,-0.00410857382237793
18,T001,90,-0.00539677272756046,-0.0047526732752712
19,T001,95,-0.00539677272756046,-0.00410857382237793
20,T001,100,-0.00507472300149132,-0.00443062354890007
21,T001,105,-0.00539677272756046,-0.00443062354890007
22,T001,110,-0.00539677272756046,-0.00507472300149132
23,T001,115,-0.00507472300149132,-0.00443062354890007
24,T001,120,-0.00507472300149132,-0.0047526732752712
25,T001,125,-0.00539677272756046,-0.00443062354890007
26,T001,130,-0.00539677272756046,-0.00443062354890007
27,T001,135,-0.00539677272756046,-0.00443062354890007
28,T001,140,-0.00539677272756046,-0.00443062354890007
29,T001,145,-0.00539677272756046,-0.00443062354890007
30,T001,150,-0.00539677272756046,-0.00507472300149132
31,T001,155,-0.00539677272756046,-0.00539677272756046
32,T001,160,-0.00604087217924587,-0.00443062354890007
33,T001,165,-0.00539677272756046,-0.00443062354890007
34,T001,170,-0.00571882245347863,-0.00410857382237793
35,T001,175,-0.00571882245347863,-0.00443062354890007
36,T001,180,-0.00539677272756046,-0.00571882245347863
37,T001,185,-0.00539677272756046,-0.00443062354890007
38,T001,190,-0.00539677272756046,-0.00539677272756046
39,T001,195,-0.00668497163032762,-0.0047526732752712
40,T001,200,-0.00507472300149132,-0.00410857382237793
41,T001,205,-0.00539677272756046,-0.00410857382237793
42,T001,210,-0.00604087217924587,-0.00443062354890007
43,T001,215,-0.00604087217924587,-0.00443062354890007
44,T001,220,-0.00539677272756046,-0.00410857382237793
45,T001,225,-0.00604087217924587,-0.00443062354890007
46,T001,230,-0.00507472300149132,-0.00443062354890007
47,T001,235,-0.00539677272756046,-0.00507472300149132
48,T001,240,-0.00571882245347863,-0.0047526732752712
49,T001,245,-0.00507472300149132,0.00555291804361314
50,T001,250,-0.00507472300149132,-0.0047526732752712
51,T001,255,-0.00571882245347863,-0.0047526732752712
52,T001,260,-0.00571882245347863,-0.00443062354890007
53,T001,265,-0.00571882245347863,-0.00443062354890007
54,T001,270,-0.00571882245347863,-0.00410857382237793
55,T001,275,-0.00571882245347863,-0.00443062354890007
56,T001,280,-0.00668497163032762,-0.00507472300149132
57,T001,285,-0.00507472300149132,-0.00604087217924587
58,T001,290,-0.00507472300149132,-0.0047526732752712
59,T001,295,-0.00539677272756046,-0.00443062354890007
60,T001,300,-0.00507472300149132,-0.0047526732752712
61,T001,305,-0.00539677272756046,-0.0047526732752712
62,T001,310,-0.00539677272756046,-0.00443062354890007
63,T001,315,-0.00668497163032762,-0.00443062354890007
64,T001,320,-0.00636292190486219,-0.00443062354890007
65,T001,325,-0.00539677272756046,-0.00410857382237793
66,T001,330,-0.00571882245347863,-0.00410857382237793
67,T001,335,-0.00539677272756046,-0.00443062354890007
