Window_ID,Train_ID,Time_ms,CH1_Voltage,CH2_Voltage
1,T001,5,-0.00314242464190517,-0.0034644743688805
2,T001,10,-0.0034644743688805,-0.0034644743688805
3,T001,15,-0.0034644743688805,-0.0034644743688805
4,T001,20,-0.00314242464190517,-0.00378652409570475
5,T001,25,-0.0034644743688805,-0.00378652409570475
6,T001,30,-0.0034644743688805,-0.0034644743688805
7,T001,35,-0.00378652409570475,-0.00378652409570475
8,T001,40,-0.00314242464190517,-0.00314242464190517
9,T001,45,-0.0034644743688805,-0.0034644743688805
10,T001,50,-0.00314242464190517,-0.00443062354890007
11,T001,55,-0.00314242464190517,-0.0034644743688805
12,T001,60,-0.00314242464190517,-0.00314242464190517
13,T001,65,-0.00314242464190517,-0.0034644743688805
14,T001,70,-0.00314242464190517,-0.00378652409570475
15,T001,75,-0.00314242464190517,-0.0047526732752712
16,T001,80,-0.0034644743688805,-0.0034644743688805
17,T001,85,-0.0034644743688805,-0.00443062354890007
18,T001,90,-0.00314242464190517,-0.0034644743688805
19,T001,95,-0.00314242464190517,-0.00314242464190517
20,T001,100,-0.0034644743688805,-0.0034644743688805
21,T001,105,-0.0034644743688805,-0.0034644743688805
22,T001,110,-0.0034644743688805,-0.0034644743688805
23,T001,115,-0.00443062354890007,-0.0034644743688805
24,T001,120,-0.00410857382237793,-0.0034644743688805
25,T001,125,-0.00378652409570475,-0.0034644743688805
26,T001,130,-0.0034644743688805,-0.00314242464190517
27,T001,135,-0.00443062354890007,-0.0034644743688805
28,T001,140,-0.0034644743688805,-0.00314242464190517
29,T001,145,-0.00378652409570475,-0.00314242464190517
30,T001,150,-0.00314242464190517,-0.00314242464190517
31,T001,155,-0.0034644743688805,-0.0034644743688805
32,T001,160,-0.00314242464190517,-0.00314242464190517
33,T001,165,-0.00314242464190517,-0.00410857382237793
34,T001,170,-0.00314242464190517,-0.0034644743688805
35,T001,175,-0.0047526732752712,-0.0034644743688805
36,T001,180,-0.0034644743688805,-0.0034644743688805
37,T001,185,-0.00314242464190517,-0.0034644743688805
38,T001,190,-0.0034644743688805,-0.0034644743688805
39,T001,195,-0.0034644743688805,-0.00378652409570475
40,T001,200,-0.00314242464190517,-0.00314242464190517
41,T001,205,-0.0034644743688805,-0.00314242464190517
42,T001,210,-0.00410857382237793,-0.0034644743688805
43,T001,215,-0.0034644743688805,-0.00443062354890007
44,T001,220,-0.00314242464190517,-0.0034644743688805
45,T001,225,0.00329856992936049,-0.0034644743688805
46,T001,230,-0.0047526732752712,-0.0034644743688805
47,T001,235,-0.00314242464190517,-0.0034644743688805
48,T001,240,-0.00410857382237793,0.00362061965951331
