Window_ID,Train_ID,Time_ms,CH1_Voltage,CH2_Voltage
1,T001,5,-0.00539677272756046,-0.00443062354890007
2,T001,10,-0.00539677272756046,-0.00410857382237793
3,T001,15,-0.00571882245347863,-0.00443062354890007
4,T001,20,-0.00539677272756046,-0.00443062354890007
5,T001,25,-0.00539677272756046,-0.00410857382237793
6,T001,30,-0.00539677272756046,-0.00410857382237793
7,T001,35,-0.00539677272756046,-0.00636292190486219
8,T001,40,-0.00539677272756046,-0.00378652409570475
9,T001,45,-0.00539677272756046,-0.00410857382237793
10,T001,50,-0.00636292190486219,-0.00410857382237793
11,T001,55,-0.00539677272756046,-0.00410857382237793
12,T001,60,-0.00539677272756046,-0.0047526732752712
13,T001,65,-0.00539677272756046,-0.00410857382237793
14,T001,70,-0.00539677272756046,-0.00443062354890007
15,T001,75,-0.00539677272756046,-0.00410857382237793
16,T001,80,-0.00539677272756046,-0.00443062354890007
17,T001,85,-0.00668497163032762,-0.00443062354890007
18,T001,90,-0.00571882245347863,-0.00410857382237793
19,T001,95,-0.00539677272756046,-0.00410857382237793
20,T001,100,-0.00539677272756046,-0.00378652409570475
21,T001,105,-0.00571882245347863,-0.00410857382237793
22,T001,110,-0.00539677272756046,-0.00378652409570475
23,T001,115,-0.00571882245347863,0.00394266938981766
24,T001,120,-0.00539677272756046,-0.00410857382237793
25,T001,125,-0.00571882245347863,-0.00443062354890007
26,T001,130,-0.00539677272756046,-0.00410857382237793
27,T001,135,-0.00539677272756046,-0.00410857382237793
28,T001,140,-0.00539677272756046,-0.00443062354890007
29,T001,145,-0.00636292190486219,0.00458676885088104
30,T001,150,-0.00507472300149132,-0.00410857382237793
31,T001,155,-0.00539677272756046,-0.00410857382237793
32,T001,160,-0.00539677272756046,-0.00378652409570475
33,T001,165,-0.00539677272756046,-0.00443062354890007
34,T001,170,-0.00571882245347863,-0.00410857382237793
35,T001,175,-0.00539677272756046,-0.00443062354890007
36,T001,180,-0.00604087217924587,-0.00507472300149132
37,T001,185,-0.00539677272756046,-0.00378652409570475
38,T001,190,-0.00571882245347863,-0.00410857382237793
39,T001,195,-0.00636292190486219,-0.00410857382237793
40,T001,200,-0.00539677272756046,-0.00539677272756046
41,T001,205,-0.00571882245347863,-0.00443062354890007
42,T001,210,-0.00636292190486219,-0.00410857382237793
43,T001,215,-0.00539677272756046,-0.00410857382237793
44,T001,220,-0.00636292190486219,-0.00410857382237793
